               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  67,            0.043119,             0.03083,           0.0085563,             0.99305,                   1,               0.995,             0.52025,            0.034192,            0.018933,           0.0029182,            0.003466,            0.003466,            0.003466
                  68,            0.046473,            0.028939,           0.0070826,             0.90996,                   1,             0.99301,             0.60843,             0.02835,            0.018237,           0.0029059,            0.003367,            0.003367,            0.003367
                  69,            0.043506,            0.031741,           0.0088495,             0.97278,                   1,             0.99382,             0.63444,            0.028421,            0.018236,            0.002847,            0.003268,            0.003268,            0.003268
                  70,            0.042994,            0.031555,           0.0082247,              0.9825,                   1,               0.995,             0.61379,            0.026478,            0.018037,           0.0028559,            0.003169,            0.003169,            0.003169
                  71,             0.04028,            0.032372,           0.0093163,             0.97824,                   1,             0.99463,             0.65481,            0.029047,            0.018724,           0.0027122,             0.00307,             0.00307,             0.00307
                  72,            0.043956,            0.031321,           0.0080193,             0.99328,                   1,               0.995,             0.56791,            0.027334,            0.018632,           0.0026344,            0.002971,            0.002971,            0.002971
                  73,            0.041915,            0.031393,            0.007269,             0.97314,                   1,             0.99134,             0.67867,            0.027313,            0.017972,           0.0025223,            0.002872,            0.002872,            0.002872
                  74,            0.042252,            0.033354,           0.0065608,             0.99334,                   1,               0.995,             0.64013,             0.02694,            0.018029,           0.0024651,            0.002773,            0.002773,            0.002773
                  75,             0.04294,            0.032538,            0.009382,              0.9945,                   1,               0.995,             0.67726,            0.029711,            0.018101,           0.0023343,            0.002674,            0.002674,            0.002674
                  76,            0.042986,            0.033984,           0.0075105,             0.97227,                   1,             0.99488,               0.634,             0.02605,            0.018007,           0.0023074,            0.002575,            0.002575,            0.002575
                  77,            0.042251,            0.031476,           0.0079125,             0.99383,                   1,               0.995,             0.60237,            0.028121,              0.0181,           0.0022047,            0.002476,            0.002476,            0.002476
                  78,             0.04002,            0.028766,           0.0078759,             0.99422,                   1,               0.995,             0.64055,            0.024912,            0.017409,           0.0021266,            0.002377,            0.002377,            0.002377
